t,vwl,vblb,vbl
4.320E-9,1.000,178.6E-3,999.2E-3
4.336E-9,1.000,171.9E-3,999.2E-3
4.353E-9,1.000,165.1E-3,999.2E-3
4.370E-9,1.000,158.3E-3,999.2E-3
4.388E-9,1.000,151.5E-3,999.2E-3
4.407E-9,1.000,144.7E-3,999.2E-3
4.426E-9,1.000,137.9E-3,999.2E-3
4.446E-9,1.000,131.2E-3,999.2E-3
4.467E-9,1.000,124.5E-3,999.2E-3
4.488E-9,1.000,117.8E-3,999.2E-3
4.512E-9,1.000,110.6E-3,999.2E-3
4.545E-9,1.000,101.5E-3,999.2E-3
4.603E-9,1.000,86.99E-3,999.1E-3
4.687E-9,1.000,69.21E-3,999.1E-3
4.807E-9,1.000,49.26E-3,999.1E-3
4.927E-9,1.000,34.65E-3,999.1E-3
5.047E-9,1.000,24.16E-3,999.1E-3
5.167E-9,1.000,16.74E-3,999.1E-3
5.284E-9,1.000,11.65E-3,999.1E-3
5.404E-9,1.000,8.008E-3,999.1E-3
5.524E-9,1.000,5.492E-3,999.1E-3
5.644E-9,1.000,3.761E-3,999.1E-3
5.764E-9,1.000,2.573E-3,999.1E-3
5.857E-9,1.000,1.923E-3,999.0E-3
5.950E-9,1.000,1.442E-3,999.0E-3
5.950E-9,916.7E-3,1.375E-3,999.0E-3
5.951E-9,838.3E-3,1.312E-3,998.9E-3
5.951E-9,755.0E-3,1.245E-3,998.9E-3
5.952E-9,671.6E-3,1.180E-3,998.8E-3
5.952E-9,607.8E-3,1.132E-3,998.8E-3
5.952E-9,538.1E-3,1.083E-3,998.7E-3
5.953E-9,463.6E-3,1.034E-3,998.7E-3
5.953E-9,380.3E-3,986.8E-6,998.6E-3
5.954E-9,297.0E-3,948.1E-6,998.5E-3
5.954E-9,213.6E-3,916.9E-6,998.5E-3
5.954E-9,130.3E-3,890.3E-6,998.4E-3
5.955E-9,60.40E-3,869.4E-6,998.4E-3
5.955E-9,200.0E-9,851.7E-6,998.3E-3
5.955E-9,4.718E-12,851.7E-6,998.3E-3
5.955E-9,-2.473E-12,851.7E-6,998.3E-3
5.955E-9,-150.3E-18,851.8E-6,998.3E-3
5.955E-9,26.36E-18,851.8E-6,998.3E-3
5.956E-9,0.000,851.8E-6,998.3E-3
5.956E-9,0.000,851.9E-6,998.3E-3
5.956E-9,-2.589E-27,851.9E-6,998.3E-3
5.956E-9,105.8E-30,851.9E-6,998.3E-3
5.957E-9,0.000,851.9E-6,998.3E-3
5.957E-9,0.000,852.0E-6,998.3E-3
5.958E-9,-8.426E-39,852.0E-6,998.3E-3
5.958E-9,214.3E-42,852.0E-6,998.3E-3
5.959E-9,0.000,852.0E-6,998.3E-3
5.960E-9,0.000,852.1E-6,998.3E-3
5.961E-9,-6.277E-51,852.1E-6,998.3E-3
5.963E-9,83.49E-54,852.2E-6,998.3E-3
5.966E-9,0.000,852.3E-6,998.3E-3
5.969E-9,0.000,852.4E-6,998.3E-3
5.973E-9,-343.9E-66,852.5E-6,998.3E-3
5.980E-9,2.290E-66,852.7E-6,998.3E-3
5.990E-9,0.000,853.0E-6,998.3E-3
6.000E-9,0.000,853.3E-6,998.3E-3
6.000E-9,0.000,832.4E-6,998.3E-3
6.000E-9,269.4E-81,809.3E-6,998.2E-3
6.001E-9,0.000,771.0E-6,998.1E-3
6.001E-9,0.000,734.5E-6,998.0E-3
6.002E-9,-5.158E-90,705.2E-6,997.8E-3
6.002E-9,387.9E-93,693.3E-6,997.6E-3
6.003E-9,0.000,710.9E-6,997.4E-3
6.003E-9,0.000,768.0E-6,997.2E-3
6.003E-9,-11.90E-102,872.0E-6,997.0E-3
6.004E-9,558.5E-105,1.028E-3,996.7E-3
6.004E-9,0.000,1.239E-3,996.5E-3
6.005E-9,0.000,1.507E-3,996.3E-3
6.005E-9,-22.27E-114,1.783E-3,996.1E-3
6.005E-9,-4.302E-126,1.828E-3,996.1E-3
6.005E-9,0.000,1.876E-3,996.1E-3
6.005E-9,0.000,1.941E-3,996.1E-3
6.005E-9,0.000,2.071E-3,996.1E-3
6.006E-9,-91.68E-129,2.331E-3,996.1E-3
6.006E-9,5.710E-129,2.852E-3,996.1E-3
6.007E-9,0.000,3.893E-3,996.1E-3
6.009E-9,0.000,5.973E-3,996.2E-3
6.014E-9,-40.13E-141,10.13E-3,996.3E-3
6.023E-9,516.3E-144,18.42E-3,996.5E-3
6.041E-9,0.000,34.91E-3,996.9E-3
6.076E-9,0.000,67.56E-3,997.5E-3
6.147E-9,-59.43E-156,131.5E-3,998.4E-3
6.225E-9,143.7E-159,200.0E-3,999.1E-3
6.301E-9,0.000,263.8E-3,999.5E-3
6.360E-9,0.000,311.7E-3,999.6E-3
6.403E-9,-2.741E-171,346.6E-3,999.7E-3
6.441E-9,8.834E-174,376.0E-3,999.8E-3
6.484E-9,0.000,409.1E-3,999.8E-3
6.528E-9,0.000,442.2E-3,999.9E-3
6.571E-9,-441.7E-189,473.3E-3,999.9E-3
6.607E-9,1.118E-189,499.1E-3,999.9E-3
6.639E-9,0.000,522.0E-3,999.9E-3
6.671E-9,0.000,543.8E-3,1.000
6.703E-9,-93.29E-204,564.9E-3,1.000
6.735E-9,269.0E-207,585.8E-3,1.000
6.768E-9,0.000,607.0E-3,1.000
6.803E-9,0.000,628.7E-3,1.000
6.840E-9,-22.49E-219,651.3E-3,1.000
6.880E-9,58.07E-222,674.8E-3,1.000
6.925E-9,0.000,699.6E-3,1.000
6.974E-9,0.000,725.8E-3,1.000
7.030E-9,-3.184E-234,753.6E-3,1.000
7.094E-9,6.552E-237,782.7E-3,1.000
7.167E-9,0.000,812.9E-3,1.000
7.251E-9,0.000,843.4E-3,1.000
7.346E-9,-172.4E-252,873.1E-3,1.000
7.452E-9,265.5E-255,900.5E-3,1.000
7.569E-9,0.000,924.5E-3,1.000
7.689E-9,0.000,943.6E-3,1.000
7.809E-9,-3.513E-267,958.2E-3,1.000
7.929E-9,4.820E-270,969.2E-3,1.000
8.014E-9,0.000,975.2E-3,1.000
8.100E-9,0.000,980.1E-3,1.000
8.106E-9,0.000,980.3E-3,1.000
8.118E-9,-394.6E-294,980.9E-3,1.000
8.120E-9,0.000,981.0E-3,1.000
8.123E-9,0.000,981.1E-3,1.000
8.129E-9,0.000,981.4E-3,1.000
8.141E-9,-26.79E-306,982.0E-3,1.000
8.165E-9,541.2E-309,983.0E-3,1.000
8.213E-9,0.000,985.0E-3,1.000
8.309E-9,0.000,988.2E-3,1.000
8.429E-9,0.000,991.4E-3,1.000
8.549E-9,0.000,993.7E-3,1.000
8.627E-9,0.000,994.9E-3,1.000
8.706E-9,0.000,995.8E-3,1.000
8.712E-9,0.000,995.9E-3,1.000
